
Nucleus X, Nucleus Y, Nucleus Z, Nucleus R, Time of Deposition, Timestep
[98.07895811 17.79754881  0.         33.29390437], 1425, 15
[82.06533407 34.46853301  0.         33.25939886], 1455, 15
[98.42367959 85.51736367  0.         33.24214612], 1470, 15
[50.43953149 69.10905922  0.         33.20764064], 1500, 15
[81.66693123 42.19949069  0.         33.19038791], 1515, 15
[20.1001902  32.53498668  0.         33.15588246], 1545, 15
[36.83247014 20.21957691  0.         33.13862974], 1560, 15
[57.7208529  16.44864801  0.29088144 33.12137702], 1575, 15
[25.42372084 73.96682197  0.         33.10412432], 1590, 15
[20.84837788 16.18741004  0.         33.05236622], 1635, 15
[63.63023588 11.72026568  0.         33.03511353], 1650, 15
[35.68586969 30.76346247  0.         32.94885015], 1725, 15
[91.10482661 92.95110857  0.         32.84533425], 1815, 15
[ 1.76288052  0.45342769  0.         32.82808162], 1830, 15
[34.67301755  7.42649362  0.         32.81082899], 1845, 15
[22.25160688 26.86162158  0.         32.74181852], 1905, 15
[81.90629244 20.83009704  0.         32.72456592], 1920, 15
[94.58554122 72.44561599  0.         32.69006072], 1950, 15
[74.6215903  28.27969242  0.         32.65555555], 1980, 15
[92.92654221 82.84763256  0.         32.62105039], 2010, 15
[84.20003707 62.83148564  0.         32.58654526], 2040, 15
[36.74792262 86.03734784  0.         32.56929269], 2055, 15
[71.75094851  3.69752904  0.         32.55204014], 2070, 15
[30.72452611 37.46357657  2.06978536 32.53478759], 2085, 15
[55.79120706 44.53059666  0.         32.51753504], 2100, 15
[87.89437888 54.95453946  0.         32.48302996], 2130, 15
[69.45557682 31.58603608  0.         32.46577743], 2145, 15
[90.2032097  58.70520552  0.         32.43127238], 2175, 15
[64.77326762  6.86049446  0.         32.41401986], 2190, 15
[34.74774374  4.51273477  0.99486969 32.39676735], 2205, 15
[83.75260955 18.50842766  0.         32.37951484], 2220, 15
[87.27160704 96.2709181   0.         32.34500984], 2250, 15
[97.77354032  7.58687403  0.         32.32775735], 2265, 15
[86.55325982 93.51379045  0.         32.29325238], 2295, 15
[63.06092759 59.69977677  0.         32.25874743], 2325, 15
[54.15189209 18.31300066  0.         32.24149496], 2340, 15
[44.11179058 51.93629921  0.         32.22424249], 2355, 15
[88.81359167 68.05019415  0.         32.18973758], 2385, 15
[57.03637147 64.80116585  0.         32.17248513], 2400, 15
[67.85756959 40.71883827  0.         32.13798025], 2430, 15
[74.6775646  73.87094985  0.         32.12072782], 2445, 15
[46.44483105 94.88201801  0.         32.08622297], 2475, 15
[84.96842924  4.97657628  0.         32.05171813], 2505, 15
[31.27479609 16.13653554  0.         31.99996092], 2550, 15
[55.28930626 70.76471301  0.         31.98270853], 2565, 15
[41.45315147 18.95371919  0.         31.96545614], 2580, 15
[49.33281569 85.62344146  0.         31.93095138], 2610, 15
[80.6946512  44.02268169  2.32481274 31.89644663], 2640, 15
[55.66094898  0.7762417   0.         31.87919427], 2655, 15
[85.37095584 88.44160265  0.55881445 31.84468956], 2685, 15
[45.96617377 93.41218331  0.         31.79293253], 2730, 15
[36.33097829 50.76481526  1.31815147 31.7756802 ], 2745, 15
[13.15795326 87.95431509  0.         31.74117555], 2775, 15
[57.21678115 94.10502554  0.         31.70667092], 2805, 15
[ 9.7894508  63.34095129  0.         31.67216631], 2835, 15
[14.48409773 10.42486182  0.         31.63766172], 2865, 15
[58.43101536 91.86731985  0.         31.62040943], 2880, 15
